genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
"[28, 18, 80]",823395,en,"A quiet, stoic man, lives a monk-like existence in self-imposed exile. When his estranged son is killed in a drug deal gone bad, he is left to look after a granddaughter he never knew existed, and he is forced back into a life he tried to put behind him.",308.342,2023-07-27,The Baker,6.935,31
"[878, 12, 28]",76600,en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",406.5,2022-12-14,Avatar: The Way of Water,7.6,10177
"[16, 28, 12, 35]",545742,ja,"One day, a giant ship falls onto the Straw Hats from the sky. After a narrow escape, and while they are still in shock, a map to the “Sky Island” is carried to them by the wind. While researching for the way there, they meet another pirate and learn that he is a descendant of an infamous Sky Island explorer who was even depicted in a picture book “Noland The Liar” four centuries ago. However, Noland was possibly not a liar after all and might actually have gone to the Sky Island.",369.46,2018-12-31,One Piece: Episode of Skypiea,6.959,37
"[28, 12, 878]",298618,en,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",388.077,2023-06-13,The Flash,6.836,3235
"[53, 18]",1151534,es,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",360.245,2023-09-29,Nowhere,7.557,861
"[878, 12, 28]",986210,en,"A father and daughter team of space scavengers race against a band of evil mercenaries to reach a legendary lost freighter called the Deepstar. Along their trek through the universe, they encounter monsters, aliens, robots, and something even worse.",359.264,2023-04-21,Space Wars: Quest for the Deepstar,3.474,19
"[28, 80, 53]",557946,en,"A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate the murder of an eccentric TV star's wife.",272.244,2022-01-27,Last Looks,5.915,248
[27],513776,es,"Cristian is attacked by an evil entity , her mother did not know what to do , his godfather father Ernesto fought to save him and thus regain the faith of the people.",353.575,2019-10-31,Poseído,4.8,4
"[27, 53]",257117,en,"Milton, a college dropout, was only supposed to cook meth for one day. Broken out of rehab by a brash young woman and her trigger-happy (""ex"") boyfriend and driven to a remote cabin the woods, Milton finds himself drawn into a dangerous love triangle gone haywire. The couple's deadpan half-truths spin around Milton like a song on repeat. They seem to read him like an open book, until a mysterious message opens his eyes to his cursed existence. With unlimited ammunition, any hunting tool they could desire, and an ever-growing body count, for what did Milton really sign up?",334.446,2014-02-21,Blood Punch,6.393,98
"[12, 28]",335977,en,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",323.428,2023-06-28,Indiana Jones and the Dial of Destiny,6.7,2062
"[878, 12, 28]",447365,en,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",304.13,2023-05-03,Guardians of the Galaxy Vol. 3,8.008,5317
[16],118249,en,"A Shrek parody of Michael Jackson's Thriller song and music video, with Donkey singing.",300.857,2011-09-13,Thriller Night,6.9,74
"[878, 12, 53]",131631,en,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,304.429,2014-11-19,The Hunger Games: Mockingjay - Part 1,6.801,14860
"[12, 10751, 14, 10749]",447277,en,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",305.093,2023-05-18,The Little Mermaid,6.481,2364
"[12, 14, 16, 35, 10751, 28]",315162,en,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",301.739,2022-12-07,Puss in Boots: The Last Wish,8.262,6625
"[878, 12, 10770]",55241,en,"San Francisco becomes a target for waves of destructive meteors after a rogue comet orbits around the earth... For astronomer, Michelle Young, what was meant to be a once-in-a-lifetime celestial event, soon turns into her worst nightmare as thousands of meteors break the surface of the atmosphere and bombard the city of San Francisco.",324.083,2010-01-30,Meteor Storm,4.6,52
[18],1058694,en,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to break through his students’ apathy and unlock their curiosity, their potential… and maybe even their genius.",332.273,2023-10-19,Radical,7.273,11
"[28, 35, 80]",1000081,fr,"François Sentinelle has two lives. By day, he is the most famous cop of Réunion Island, known for his tough methods and flowery shirts, pursuing criminals in his famous yellow defender. But the rest of the time, Sentinelle is also a charming singer.",236.936,2023-08-27,Sentinelle,5.246,198
"[12, 28, 878]",299536,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",292.957,2018-04-25,Avengers: Infinity War,8.252,27967
"[27, 53]",744857,es,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.",316.63,2023-10-05,When Evil Lurks,7.336,217
"[27, 9648]",751237,en,"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.",288.789,2022-03-18,Umma,5.37,243
"[16, 12, 10751]",1076364,en,"Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",276.179,2023-06-15,Carl's Date,7.6,306
[27],804755,en,"Rumors of demonic possession at a religious convent prompts a church investigation into the strange goings-on among its nuns. A disaffected priest and his neophyte are confronted with temptation, bloodshed and a crisis of faith.",313.151,2021-12-10,Agnes,4.094,32
[27],1146143,en,"The Puppetman, a convicted killer on death row always maintained his innocence saying that it was an evil force controlling his body as he slaughtered his victims. Now Michal, the killer's daughter, begins to suspect that there may be some truth to her father's claim when those around her begin to die in brutal ways. She must try and break the curse of The Puppetman before all her loved ones are killed.",327.737,2023-12-22,The Puppetman,0.0,0
"[53, 878, 28]",937249,en,"When a tech blogger lands an interview with a tech guru and stops an attack on him, he finds a mysterious ring that takes him back 57 seconds into the past.",295.748,2023-09-29,57 Seconds,5.753,188
"[10751, 16, 14, 10402, 35, 12]",354912,en,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",263.78,2017-10-27,Coco,8.217,18179
